Latitude,Longitude,Avg_TCIWV_2017
43.64323404052515,20.044896127695807,14.275120679409273
43.74068016375085,20.066142477385483,15.39033406396066
43.72521825170103,20.200988384951074,15.51945032483788
43.70958630143312,20.335759059908668,15.313973171736604
43.69378446734656,20.470453742291795,15.63562976288539
43.677812905405936,20.605071674846243,16.099801464747358
43.66167177313592,20.739612103052423,16.154446962059186
43.645361229616235,20.874074275147393,16.26571209328149
43.838133914014335,20.08746329747146,15.82380179564158
43.822643043080426,20.222539492702396,15.9464916529194
43.806981824608414,20.357540062692806,16.138863969874638
43.79115041357937,20.492464243810446,16.599465453496542
43.77514896654495,20.627311275158632,16.825859952998417
43.758977641622124,20.76208039859847,16.597197308335254
43.74263659848825,20.896770858771305,16.295786023139954
43.72612599837566,21.031381903120575,16.637645913708596
43.709446004066656,21.165912781913505,17.30141439232775
43.692596779888156,21.300362748262756,17.725473537239978
43.6755784917063,21.43473105814749,17.51214187888689
43.65839130692127,21.569016970434546,17.017392212344753
43.64103539446178,21.703219746899094,16.43074067433675
43.93559500745713,20.108858976901274,15.513065913672088
43.9200751186948,20.244166226146348,16.012351873100446
43.90438457250646,20.3793974548056,16.452288034141706
43.88852352445808,20.51455189555827,16.62101283765608
43.872492131691324,20.6496287838427,16.71241068711845
43.85629055291875,20.78462735787855,16.448549800021674
43.83991894841846,20.919546858689472,16.066829369914146
43.82337748002887,21.0543865301251,16.445231597910645
43.80666631114356,21.189145618883003,17.07325579017721
43.789785606705884,21.323823374530235,17.608706064121698
43.77273553320363,21.458419049524878,17.42271816089589
43.75551625866373,21.59293189923713,16.574347852378764
43.738127952646764,21.72736118197014,15.859882147081438
43.72057078624145,21.86170615898078,15.601985639141452
43.702844932059364,21.995966094500005,15.595475217347504
43.68495056422906,22.130140255753076,16.132647609197964
43.66688785839086,22.26422791297938,16.59232502598916
43.64865699169093,22.39822833945206,15.91776184112795
44.03306315953892,20.130329907312387,15.133907647543056
44.01751419379389,20.265868980632206,15.699767872851382
44.00179426016561,20.40133163528472,16.047508133355006
43.98590351480786,20.53671710023798,16.05926888860682
43.969842115455734,20.672024607242633,16.479211767514546
43.953610221420384,20.807253390854555,16.6698199741302
43.937207993583876,20.942402688457577,16.490132467721097
43.92063559439395,21.07747174028566,16.81964354361257
43.90389318785869,21.21245978944495,17.39545840089039
43.886980939541154,21.34736608193566,17.65570705680437
43.86989901655415,21.482189866673536,16.967241005230974
43.85264758755458,21.61693039551119,15.870760843317996
43.8352268227382,21.751586923259197,15.484924134387764
43.81763689383399,21.886158707706784,15.980933894393264
43.799877974098706,22.02064500964252,16.42721245878486
43.781950238311204,22.155045092874502,16.807252778801868
43.76385386276695,22.289358224250492,16.994122730788366
43.74558902527227,22.423583673677626,16.60421178674185
43.72715590513869,22.55772071414202,16.855009824998916
43.708554683177276,22.691768621727903,17.317753445717596
43.68978554169276,22.825726675636872,17.713712787115444
43.670848664477845,22.95959415820647,18.041417760233724
43.65174423680732,23.09337035492868,18.139662037613572
43.63247244543219,23.22705455446831,18.152850881699592
44.13053808503785,20.15187648305536,15.461486604905897
44.11495998294439,20.287648154245232,15.83346241392115
44.0992106019394,20.423343005926853,15.874709058833378
44.08329009876773,20.558960263333915,15.83871276276086
44.06719863176095,20.694499154506616,16.415577684679338
44.05093636083204,20.82995891031453,16.883487637325
44.034503447470335,20.965338764479327,16.993534680335753
44.01790005473605,21.1006379535973,17.18317681743253
44.00112634725506,21.235855717161428,17.5882087369119
43.984182491213524,21.3709912975834,17.510671774546307
43.96706865435238,21.506043940215392,16.405245029798117
43.94978500596202,21.641012893371425,15.084890536082689
43.93233171687664,21.775897408348555,14.851145566150706
43.91470895946888,21.91069673944793,15.935402975287488
43.89691690764411,22.045410143995383,16.956698333063432
43.87895573683486,22.180036882361833,17.365090462469286
43.86082562399521,22.31457621798367,17.430026623510546
43.84252674759509,22.449027417382354,17.21673697297291
43.82405928761442,22.583389750184438,17.509705728100194
43.80542342553757,22.717662489140594,17.855009827562558
43.78661934434745,22.851844910145132,18.19174538376511
43.76764722851961,22.985936292254564,18.374331058994418
43.748507264016474,23.119935917706414,18.397306526860884
43.729199638281386,23.253843071937524,18.327876067930653
43.70972454023269,23.387657043602076,18.35076754067534
43.69008216025772,23.52137712458955,18.305740653827627
43.670272690206865,23.655002610042175,18.36588850328999
43.65029632338738,23.788532798372273,18.358748043737105
